"original.sound.files","sound.files","start","end"
"C_Interaccion_social_M2Cuido_Materno2023-09-27_08-53-54_0000003 id 129.wav","C_Interaccion_social_M2Cuido_Materno2023-09-27_08-53-54_0000003 id 129-3.wav",600,900
"C_Interaccion_social_M2Cuido_Materno2023-09-27_08-53-54_0000003 id 129.wav","C_Interaccion_social_M2Cuido_Materno2023-09-27_08-53-54_0000003 id 129-4.wav",900,1048.28109
"C_Interaccion_social_M2Cuido_Materno2023-09-27_09-18-15_0000004 id 122.wav","C_Interaccion_social_M2Cuido_Materno2023-09-27_09-18-15_0000004 id 122-1.wav",0,300
"C_Interaccion_social_M2Cuido_Materno2023-09-27_09-18-15_0000004 id 122.wav","C_Interaccion_social_M2Cuido_Materno2023-09-27_09-18-15_0000004 id 122-2.wav",300,600
"C_Interaccion_social_M2Cuido_Materno2023-09-27_09-18-15_0000004 id 122.wav","C_Interaccion_social_M2Cuido_Materno2023-09-27_09-18-15_0000004 id 122-3.wav",600,900
"C_Interaccion_social_M2Cuido_Materno2023-09-27_09-18-15_0000004 id 122.wav","C_Interaccion_social_M2Cuido_Materno2023-09-27_09-18-15_0000004 id 122-4.wav",900,1045.200895
"C_Interaccion_social_M2Cuido_Materno2023-09-27_09-41-51_0000005 106.wav","C_Interaccion_social_M2Cuido_Materno2023-09-27_09-41-51_0000005 106-1.wav",0,300
"C_Interaccion_social_M2Cuido_Materno2023-09-27_09-41-51_0000005 106.wav","C_Interaccion_social_M2Cuido_Materno2023-09-27_09-41-51_0000005 106-2.wav",300,600
"C_Interaccion_social_M2Cuido_Materno2023-09-27_09-41-51_0000005 106.wav","C_Interaccion_social_M2Cuido_Materno2023-09-27_09-41-51_0000005 106-3.wav",600,900
"C_Interaccion_social_M2Cuido_Materno2023-09-27_09-41-51_0000005 106.wav","C_Interaccion_social_M2Cuido_Materno2023-09-27_09-41-51_0000005 106-4.wav",900,1061.912575
"D_Campo_Abierto_M2Cuido_Materno2023-09-27_10-14-59_0000001 93.wav","D_Campo_Abierto_M2Cuido_Materno2023-09-27_10-14-59_0000001 93-1.wav",0,300
"D_Campo_Abierto_M2Cuido_Materno2023-09-27_10-14-59_0000001 93.wav","D_Campo_Abierto_M2Cuido_Materno2023-09-27_10-14-59_0000001 93-2.wav",300,300.875775
"D_Campo_Abierto_M2Cuido_Materno2023-09-27_10-24-11_0000002 id 123.wav","D_Campo_Abierto_M2Cuido_Materno2023-09-27_10-24-11_0000002 id 123-1.wav",0,300
"D_Campo_Abierto_M2Cuido_Materno2023-09-27_10-24-11_0000002 id 123.wav","D_Campo_Abierto_M2Cuido_Materno2023-09-27_10-24-11_0000002 id 123-2.wav",300,300.77747
"D_Campo_Abierto_M2Cuido_Materno2023-09-27_10-33-21_0000003 id 116.wav","D_Campo_Abierto_M2Cuido_Materno2023-09-27_10-33-21_0000003 id 116-1.wav",0,300
"D_Campo_Abierto_M2Cuido_Materno2023-09-27_10-33-21_0000003 id 116.wav","D_Campo_Abierto_M2Cuido_Materno2023-09-27_10-33-21_0000003 id 116-2.wav",300,300.77747
"D_Campo_Abierto_M2Cuido_Materno2023-09-27_10-42-22_0000004 105.wav","D_Campo_Abierto_M2Cuido_Materno2023-09-27_10-42-22_0000004 105-1.wav",0,300
"D_Campo_Abierto_M2Cuido_Materno2023-09-27_10-42-22_0000004 105.wav","D_Campo_Abierto_M2Cuido_Materno2023-09-27_10-42-22_0000004 105-2.wav",300,300.67917
"D_Campo_Abierto_M2Cuido_Materno2023-09-27_10-51-17_0000005.wav","D_Campo_Abierto_M2Cuido_Materno2023-09-27_10-51-17_0000005-1.wav",0,300
"D_Campo_Abierto_M2Cuido_Materno2023-09-27_10-51-17_0000005.wav","D_Campo_Abierto_M2Cuido_Materno2023-09-27_10-51-17_0000005-2.wav",300,300.67917
"D_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 93.wav","D_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 93-1.wav",0,300
"D_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 93.wav","D_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 93-2.wav",300,600
"D_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 93.wav","D_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 93-3.wav",600,900
"D_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 93.wav","D_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 93-4.wav",900,1054.34317
"D_Interaccion_social_M2Cuido_Materno2023-09-27_08-30-11_0000002 id 123.wav","D_Interaccion_social_M2Cuido_Materno2023-09-27_08-30-11_0000002 id 123-1.wav",0,300
"D_Interaccion_social_M2Cuido_Materno2023-09-27_08-30-11_0000002 id 123.wav","D_Interaccion_social_M2Cuido_Materno2023-09-27_08-30-11_0000002 id 123-2.wav",300,600
"D_Interaccion_social_M2Cuido_Materno2023-09-27_08-30-11_0000002 id 123.wav","D_Interaccion_social_M2Cuido_Materno2023-09-27_08-30-11_0000002 id 123-3.wav",600,900
"D_Interaccion_social_M2Cuido_Materno2023-09-27_08-30-11_0000002 id 123.wav","D_Interaccion_social_M2Cuido_Materno2023-09-27_08-30-11_0000002 id 123-4.wav",900,1040.90829
