"sound.files","start","end","counts","duration","rate","minute"
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-53-54_0000003 id 92.wav",360,420,68,60,1.13333333333333,7
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-53-54_0000003 id 92.wav",420,480,40,60,0.666666666666667,8
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-53-54_0000003 id 92.wav",480,540,88,60,1.46666666666667,9
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-53-54_0000003 id 92.wav",540,600,19,60,0.316666666666667,10
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-53-54_0000003 id 92.wav",600,660,101,60,1.68333333333333,11
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-53-54_0000003 id 92.wav",660,720,160,60,2.66666666666667,12
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-53-54_0000003 id 92.wav",720,780,73,60,1.21666666666667,13
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-53-54_0000003 id 92.wav",780,840,109,60,1.81666666666667,14
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-53-54_0000003 id 92.wav",840,900,85,60,1.41666666666667,15
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-53-54_0000003 id 92.wav",900,960,75,60,1.25,16
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-53-54_0000003 id 92.wav",960,1020,86,60,1.43333333333333,17
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-53-54_0000003 id 92.wav",1020,1048.28109,32,28.2810899999999,1.13149811411088,18
"A_Interaccion_social_M2Cuido_Materno2023-09-27_09-18-15_0000004 id 144.wav",0,60,1,60,0.0166666666666667,1
"A_Interaccion_social_M2Cuido_Materno2023-09-27_09-18-15_0000004 id 144.wav",60,120,4,60,0.0666666666666667,2
"A_Interaccion_social_M2Cuido_Materno2023-09-27_09-18-15_0000004 id 144.wav",120,180,150,60,2.5,3
"A_Interaccion_social_M2Cuido_Materno2023-09-27_09-18-15_0000004 id 144.wav",180,240,100,60,1.66666666666667,4
"A_Interaccion_social_M2Cuido_Materno2023-09-27_09-18-15_0000004 id 144.wav",240,300,130,60,2.16666666666667,5
"A_Interaccion_social_M2Cuido_Materno2023-09-27_09-18-15_0000004 id 144.wav",300,360,93,60,1.55,6
"A_Interaccion_social_M2Cuido_Materno2023-09-27_09-18-15_0000004 id 144.wav",360,420,68,60,1.13333333333333,7
"A_Interaccion_social_M2Cuido_Materno2023-09-27_09-18-15_0000004 id 144.wav",420,480,83,60,1.38333333333333,8
"A_Interaccion_social_M2Cuido_Materno2023-09-27_09-18-15_0000004 id 144.wav",480,540,58,60,0.966666666666667,9
"A_Interaccion_social_M2Cuido_Materno2023-09-27_09-18-15_0000004 id 144.wav",540,600,30,60,0.5,10
"A_Interaccion_social_M2Cuido_Materno2023-09-27_09-18-15_0000004 id 144.wav",600,660,42,60,0.7,11
"A_Interaccion_social_M2Cuido_Materno2023-09-27_09-18-15_0000004 id 144.wav",660,720,28,60,0.466666666666667,12
"A_Interaccion_social_M2Cuido_Materno2023-09-27_09-18-15_0000004 id 144.wav",720,780,33,60,0.55,13
"A_Interaccion_social_M2Cuido_Materno2023-09-27_09-18-15_0000004 id 144.wav",780,840,33,60,0.55,14
"A_Interaccion_social_M2Cuido_Materno2023-09-27_09-18-15_0000004 id 144.wav",840,900,35,60,0.583333333333333,15
"A_Interaccion_social_M2Cuido_Materno2023-09-27_09-18-15_0000004 id 144.wav",900,960,15,60,0.25,16
